epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,6611.16,1.22395,1.11359,1.4573,0.68835,0.63782,0.69474,0.38342,1.61326,1.28273,1.82599,0.00076834,0.00076834,0.00076834
119,6664.25,1.21827,1.12616,1.45188,0.72135,0.66062,0.72492,0.40441,1.55937,1.22664,1.75971,0.00076636,0.00076636,0.00076636
120,6717.6,1.2026,1.10826,1.45417,0.6911,0.69705,0.72415,0.39025,1.6392,1.21628,1.82078,0.00076438,0.00076438,0.00076438
121,6773.85,1.21164,1.10319,1.439,0.70575,0.67736,0.72349,0.40316,1.58169,1.19987,1.78852,0.0007624,0.0007624,0.0007624
122,6827.91,1.18002,1.0413,1.43,0.74222,0.62987,0.72335,0.40389,1.57308,1.22688,1.77804,0.00076042,0.00076042,0.00076042
123,6881.34,1.17971,1.04548,1.43563,0.69939,0.67645,0.72415,0.41172,1.53179,1.20897,1.76691,0.00075844,0.00075844,0.00075844
124,6941.79,1.17608,1.05882,1.42342,0.69738,0.67823,0.71851,0.4065,1.55883,1.22387,1.79245,0.00075646,0.00075646,0.00075646
125,6998.12,1.18325,1.06625,1.43452,0.69131,0.6618,0.71105,0.40063,1.58989,1.24608,1.80283,0.00075448,0.00075448,0.00075448
126,7052.07,1.19114,1.0838,1.43681,0.66159,0.68115,0.70783,0.39213,1.60629,1.24909,1.81736,0.0007525,0.0007525,0.0007525
127,7105.41,1.17854,1.06635,1.42853,0.6742,0.67931,0.7057,0.40135,1.54575,1.26034,1.78194,0.00075052,0.00075052,0.00075052
128,7161.15,1.18233,1.06853,1.42904,0.69455,0.6659,0.69116,0.38326,1.60064,1.25776,1.82819,0.00074854,0.00074854,0.00074854
129,7220.3,1.13345,0.99996,1.39357,0.70216,0.68639,0.73079,0.41237,1.5869,1.19487,1.80334,0.00074656,0.00074656,0.00074656
130,7281.22,1.17427,1.0504,1.42465,0.67656,0.66564,0.72089,0.3954,1.62214,1.22941,1.85336,0.00074458,0.00074458,0.00074458
131,7337.79,1.1652,1.05919,1.41851,0.6803,0.6684,0.71586,0.39621,1.5955,1.24098,1.80596,0.0007426,0.0007426,0.0007426
132,7395.36,1.17785,1.03822,1.4122,0.69963,0.67057,0.71516,0.39552,1.61517,1.22216,1.81935,0.00074062,0.00074062,0.00074062
133,7448.18,1.15245,1.03786,1.41952,0.67997,0.66425,0.70964,0.39203,1.57894,1.22952,1.80265,0.00073864,0.00073864,0.00073864
134,7503.96,1.16916,1.03105,1.42527,0.66713,0.68326,0.70757,0.40124,1.5763,1.2205,1.80746,0.00073666,0.00073666,0.00073666
135,7561.05,1.15132,1.02944,1.41431,0.71933,0.68634,0.74174,0.42001,1.57518,1.18057,1.8115,0.00073468,0.00073468,0.00073468
136,7620.89,1.12934,0.99476,1.40056,0.67106,0.68084,0.7289,0.40502,1.60929,1.18897,1.8313,0.0007327,0.0007327,0.0007327
137,7678.11,1.14275,0.98597,1.40356,0.69542,0.70547,0.73536,0.41751,1.58037,1.17615,1.80873,0.00073072,0.00073072,0.00073072
138,7734.54,1.10257,0.93687,1.363,0.63479,0.71491,0.70802,0.39444,1.61358,1.21979,1.86162,0.00072874,0.00072874,0.00072874
139,7794.89,1.12339,0.97374,1.38249,0.69254,0.71474,0.73661,0.40646,1.59331,1.2012,1.83047,0.00072676,0.00072676,0.00072676
140,7848.98,1.14083,1.00433,1.39477,0.64431,0.68721,0.71974,0.39981,1.60578,1.21941,1.82633,0.00072478,0.00072478,0.00072478
141,7906.64,1.11379,0.95563,1.37699,0.68049,0.67941,0.7169,0.40142,1.62578,1.21955,1.85548,0.0007228,0.0007228,0.0007228
142,7959.99,1.14055,1.00259,1.39217,0.66593,0.65405,0.69962,0.38242,1.62784,1.22308,1.87732,0.00072082,0.00072082,0.00072082
143,8013.72,1.1138,0.96204,1.38052,0.70603,0.6464,0.69917,0.38404,1.66623,1.23331,1.8711,0.00071884,0.00071884,0.00071884
144,8069.37,1.14666,0.97214,1.39072,0.71028,0.66983,0.73344,0.40616,1.60406,1.2024,1.8217,0.00071686,0.00071686,0.00071686
145,8121.74,1.11317,0.96851,1.37705,0.71865,0.69194,0.7331,0.41603,1.59995,1.17992,1.83395,0.00071488,0.00071488,0.00071488
146,8174.51,1.10465,0.95401,1.3687,0.71372,0.68147,0.73319,0.40495,1.61233,1.17879,1.85536,0.0007129,0.0007129,0.0007129
147,8227.01,1.12025,0.95058,1.37745,0.70925,0.67143,0.72249,0.40692,1.60296,1.17333,1.86577,0.00071092,0.00071092,0.00071092
148,8279.63,1.11785,0.93809,1.37562,0.72118,0.66686,0.72805,0.41007,1.64006,1.16157,1.90077,0.00070894,0.00070894,0.00070894
